what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1365382999611
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365383000868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365383025364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383026617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383542715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365383575579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383577106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383590645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383722093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383948125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365383958233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383960089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383965364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365383981144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365383985342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384026895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384043245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384044589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384048054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365384051421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365384051753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365384052082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365384052353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384052741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384054297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384057656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365384196659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384217199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384219127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384234041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1365384238684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365384241161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384241571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384242979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384248872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384252514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365384253764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384564520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384566866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384571671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384576290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384577924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384581496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365384594184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365384597214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365384599895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365384602220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384603185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384604689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384607311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384609313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384611190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384612732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384615478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384767508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384769552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384772626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384795767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384798066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384802829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384808043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384844388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384845808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384850064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365384850512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384851195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384895817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384897335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384902233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384905960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384907411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384915289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384932706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384934264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384940784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365384967846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384969137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365384984916
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365385001707
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365385011731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365385012512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385043981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385046124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385049131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385058505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385059836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385063319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385126307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385127534
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365385133386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385133498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365385135096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385136723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385138578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385141857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385169030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385333157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1365385342153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365385345408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385346191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385347678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385385415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385507034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385508272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385512496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385639285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385642564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385643960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385652663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385669173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385670470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385676218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385678783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385679176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385679518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385679865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385680376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385680775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385681063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385681505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385681694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385681910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385682122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385682652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385682926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385683118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385683592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385683790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385684167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385684555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1365385806117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365385808721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365385815184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385816554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385820136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385821049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385821239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385821431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385821614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385821807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385822039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385822253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385822455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385822689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385822878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365385823438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385943659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385988596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365385995530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365385996782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386036400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365386042219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386043531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386170572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365386174287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365386190990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365386195357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386196805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386207571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365386235971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386237277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386258082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365386273790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386275218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386299417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365386385883
