what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1365906756284
processors,sysinfo,,,"4",1365906756284
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365906756284
java.runtime.version,sysinfo,,,"1.6.0_43-b01-447-11M4203",1365906756284
java.specification.name,sysinfo,,,"Java Platform API Specification",1365906756284
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365906756284
java.specification.version,sysinfo,,,"1.6",1365906756284
java.vendor,sysinfo,,,"Apple Inc.",1365906756284
java.version,sysinfo,,,"1.6.0_43",1365906756284
java.vm.info,sysinfo,,,"mixed mode",1365906756284
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365906756284
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365906756284
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365906756284
java.vm.specification.version,sysinfo,,,"1.0",1365906756284
java.vm.vendor,sysinfo,,,"Apple Inc.",1365906756284
java.vm.version,sysinfo,,,"20.14-b01-447",1365906756284
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365906766636
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1365906766725
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1365906766747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365906766772
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1365906766811
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1365906767371
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1365906767374
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1365906773992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365906774514
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1365906775527
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1365906775530
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1365906775557
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1365906775567
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1365906775606
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1365906775612
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1365906775636
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1365906775639
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1365906775645
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1365906775647
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1365906775648
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1365906775667
