what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960204869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365960212066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365960214974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365960225669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960230119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960230292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960259017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960267674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960272734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960275811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960282412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960282523
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365960284037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365960284711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365960287998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365960290002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960294087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365960294239
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365960295901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365960306583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365960312301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365960316159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365960319034
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365960319949
